;NO		: Server 쪽에서 오는 몬스터의 번호
;
;Sgs		: 그림 파일이 몇 개의 세그먼트로 이루어져 있는가
;
;SFCnt		: 서기 동작의 프레임 수
;
;WFCnt		: 걷기 동작의 프레임 수
;
;AFCnt		: 공격 동작의 프레임 수
;
;fStop		: 해당 몬스터가 가만이 서 있을 수 있는가?
;			(말벌 같은 것은 계속 날개짓을 해야하므로 fStop이 0이 되어야 한다.)
;
;fChgDir	: 해당 몬스터가 방향을 전환할 수 있는가?
;			(보통의 NPC는 한 방향만 보고 있으므로 0으로 세팅하면 된다.)
;
;SMDly		: 계속 움직여야 하는 동물들의 각 동작사이의 Delay
;
;BMDlyMn	: NPC들의 동작이 이루어지는 간격 (Min)
;			(쉴새 없이 움직이는 놈들은 이 값을 SMDly와 같게 해 준다.)
;
;BMDlyMx	: NPC들의 동작이 이루어지는 간격 (Max)
;			(쉴새 없이 움직이는 놈들은 이 값을 SMDly와 같게 해 준다.)
;
;			위의 두 값, BMDlyMn과 BMDlyMx 사이에서 동작간 Delay가 Random하게 결정된다.
;
;SMCnt		: 제자리 동작의 프레임 수 (예를 들어 쌍절곤을 계속해서 돌리는 놈은 계속 돌리는
;		  동작에 두 프레임이 소요되므로 2로 써 주면 된다.)
;		  보통은 0으로 써 주기 바란다. 0으로 써 주면 동작 프레임 전체를 계속적으로 반복하며
;		  0이 아닌 숫자를 써 주면 써 준 숫자만큼의 프레임만을 반복하다가 가끔씩 남은 프레임
;		  으로 에니메이션된다.
;SMFR		: SMCnt에 지정된 프레임에서 다른 프레임으로 넘어가는 비율을 정한다. 예를 들어
;		  쌍절곤 돌리는 놈에게 SMFR을 10으로 지정하면 10번에 한 번 정도 꼴로 자기 머리를
;		  친다. (SMFR은 Stop Motion Failure Ratio의 약자이다.)
;NO	Sgs	SFCnt	WFCnt	AFCnt	fStop	fChgDir	SMDly	BMDlyMn	BMDlyMx	SMCnt	SMFR
40	1	2	2	1	0	0	600	600	600	0	0
41	1	2	2	1	0	0	600	6000	9000	0	0
42	1	2	2	1	0	0	600	9000	10000	8	2
43	1	4	4	1	0	0	600	9000	9500	0	0
44	1	1	1	1	0	0	600	4000	6000	6	2
45	1	2	2	1	0	0	600	1000	7000	0	0
46	1	2	2	2	0	1	1000	1000	1800	0	0
47	1	2	2	2	0	1	1000	1000	1800	0	0
48	1	2	2	2	0	1	1000	1000	1800	0	0
49	1	1	2	2	1	1	0	0	0	0	0
50	1	1	4	2	1	1	0	0	0	0	0
51	1	2	2	2	0	1	800	800	800	0	0
52	1	1	2	1	1	1	0	0	0	0	0
53	1	1	2	2	1	1	0	0	0	0	0
54	1	1	2	2	1	1	0	0	0	0	0
55	1	1	2	2	1	1	0	0	0	0	0
56	1	2	2	1	0	0	600	5000	6000	0	0
57	1	2	2	1	0	0	600	5000	6000	4	2
58	1	3	3	1	0	0	600	5000	6000	0	0
59	1	2	2	1	0	0	600	5000	6000	0	0
60	1	3	3	1	0	0	600	5000	6000	0	0
61	1	1	1	1	1	0	600	5000	6000	0	0
62	1	1	1	1	1	0	600	5000	6000	0	0
63	1	1	1	1	1	0	600	5000	6000	0	0
64	1	1	1	1	1	0	600	5000	6000	0	0
;NO	Sgs	SFCnt	WFCnt	AFCnt	fStop	fChgDir	SMDly	BMDlyMn	BMDlyMx	SMCnt	SMFR
65	1	1	4	2	1	1	0	0	0	0	0
66	1	1	2	2	1	1	0	0	0	0	0
67	1	1	2	2	1	1	0	0	0	0	0
68	1	2	2	2	0	1	800	800	800	0	0
69	1	1	4	2	1	1	0	0	0	0	0
;70	1	1	1	1	1	0	0	0	0	0	0
;71	1	1	1	1	1	0	0	0	0	0	0
;72	1	1	1	1	1	0	0	0	0	0	0
;73	1	1	1	1	1	0	0	0	0	0	0
;74	1	1	1	1	1	0	0	0	0	0	0
;75	1	1	1	1	1	0	0	0	0	0	0
;76	1	1	1	1	1	0	0	0	0	0	0
;77	1	1	1	1	1	0	0	0	0	0	0
;78	1	1	1	1	1	0	0	0	0	0	0
;79	1	1	4	5	1	1	0	0	0	0	0
;80	1	1	4	5	1	1	0	0	0	0	0
;81	1	1	4	5	1	1	0	0	0	0	0
;82	1	1	4	5	1	1	0	0	0	0	0
;83	3	2	2	8	0	0	1200	1200	1200	0	0
84	1	11	11	1	0	0	440	440	440	0	0
85	1	1	2	2	1	1	0	0	0	0	0
86	1	1	2	2	1	1	0	0	0	0	0
87	1	1	2	2	1	1	0	0	0	0	0
88	1	1	2	2	1	1	0	0	0	0	0
89	1	1	2	2	1	1	0	0	0	0	0
90	1	1	4	2	1	1	0	0	0	0	0
91	1	2	2	2	0	1	1200	1200	1400	0	0
92	1	4	4	4	0	1	1200	1200	1400	0	0
93	1	3	3	1	0	0	800	4000	5000	0	0
94	1	3	3	1	0	0	800	4000	5000	0	0
95	1	3	3	1	0	0	800	3000	4000	0	0
96	1	2	2	1	0	0	1200	1200	1200	0	0
97	1	1	3	3	1	1	0	0	0	0	0
98	1	1	2	2	1	1	0	0	0	0	0
99	1	1	2	2	1	1	0	0	0	0	0
;NO	Sgs	SFCnt	WFCnt	AFCnt	fStop	fChgDir	SMDly	BMDlyMn	BMDlyMx	SMCnt	SMFR
100	1	1	2	4	1	1	0	0	0	0	0
101	1	1	4	2	1	1	0	0	0	0	0
102	1	1	2	4	1	1	0	0	0	0	0
103	1	1	2	2	1	1	0	0	0	0	0
104	1	2	2	2	0	1	800	800	800	0	0
105	1	1	2	2	1	1	0	0	0	0	0
;106	1	1	1	1	1	0	0	0	0	0	0
;107	1	1	1	1	1	0	0	0	0	0	0
;108	1	1	1	1	1	0	0	0	0	0	0
;109	1	1	1	1	1	0	0	0	0	0	0
;110	1	1	1	1	1	0	0	0	0	0	0
;111	1	1	1	1	1	0	0	0	0	0	0
;112	1	1	1	1	1	0	0	0	0	0	0
;113	1	1	1	1	1	0	0	0	0	0	0
;114	1	1	1	1	1	0	0	0	0	0	0
;115	1	1	1	1	1	0	0	0	0	0	0
;116	1	1	1	1	1	0	0	0	0	0	0
;117	1	1	1	1	1	0	0	0	0	0	0
;118	1	1	1	1	1	0	0	0	0	0	0
;119	1	1	1	1	1	0	0	0	0	0	0
;120	1	1	1	1	1	0	0	0	0	0	0
;121	1	1	1	1	1	0	0	0	0	0	0
;122	1	1	1	1	1	0	0	0	0	0	0
;123	1	1	1	1	1	0	0	0	0	0	0
;124	1	1	1	1	1	0	0	0	0	0	0
;125	1	1	1	1	1	0	0	0	0	0	0
;126	1	1	1	1	1	0	0	0	0	0	0
;127	1	1	1	1	1	0	0	0	0	0	0
;128	1	1	1	1	1	0	0	0	0	0	0
;129	1	1	1	1	1	0	0	0	0	0	0
;130	1	1	1	1	1	0	0	0	0	0	0
;131	1	1	1	1	1	0	0	0	0	0	0
;132	1	1	1	1	1	0	0	0	0	0	0
;133	1	1	1	1	1	0	0	0	0	0	0
;134	1	1	1	1	1	0	0	0	0	0	0
;135	1	1	1	1	1	0	0	0	0	0	0
136	1	1	2	2	1	1	0	0	0	0	0
137	1	1	4	2	1	1	0	0	0	0	0
138	1	1	4	2	1	1	0	0	0	0	0
139	1	2	2	2	0	1	800	800	800	0	0
140	1	2	2	2	0	1	800	800	800	0	0
141	1	1	4	1	1	1	0	0	0	0	0
;142	1	1	1	1	1	0	0	0	0	0	0
;143	1	1	4	5	1	1	0	0	0	0	0
;144	1	1	4	5	1	1	0	0	0	0	0
;145	1	1	4	5	1	1	0	0	0	0	0
;146	1	1	4	5	1	1	0	0	0	0	0
;147	1	1	4	5	1	1	0	0	0	0	0
148	1	1	4	2	1	1	0	0	0	0	0
149	1	1	4	2	1	1	0	0	0	0	0
150	1	1	4	2	1	1	0	0	0	0	0
151	1	2	2	2	0	1	800	800	800	0	0
152	1	1	4	5	1	1	800	800	800	0	0
153	1	1	4	2	1	1	800	800	800	0	0
154	1	4	4	3	0	1	800	800	800	0	0
;155	1	2	2	2	1	0	0	0	0	0	0
156	1	1	4	2	1	1	800	800	800	0	0
157	1	1	4	2	1	1	800	800	800	0	0
158	1	1	4	2	1	1	800	800	800	0	0
