; Skill table
;
;
; NO : Skill ID
; FN : Specifies the file containing the corresponding skill image(b = 1, c= 2, .... )
; SI : The starting index of the skill
; FC : The number of frames in the skill
; ST : Cloth IDs' which can use with the skill.
;NO	FN	SI	FC	ST
14	3	4	2	3 8 13 18 23 40 59 60 61 62 79 80 81 82 99 100 101 102 105 119 120 121 122 139 140 141 142 156 157 158 159 160 176 181 186 212
15	3	8	2	3 8 13 18 23 40 59 60 61 62 79 80 81 82 99 100 101 102 105 119 120 121 122 139 140 141 142 156 157 158 159 160 176 181 186 212
16	3	12	3	3 8 13 18 23 40 59 60 61 62 79 80 81 82 99 100 101 102 105 119 120 121 122 139 140 141 142 156 157 158 159 160 176 181 186 212
17	3	18	2	3 8 13 18 23 40 59 60 61 62 79 80 81 82 99 100 101 102 105 119 120 121 122 139 140 141 142 156 157 158 159 160 176 181 186 212
18	3	22	3	3 8 13 18 23 40 59 60 61 62 79 80 81 82 99 100 101 102 105 119 120 121 122 139 140 141 142 156 157 158 159 160 176 181 186 212
19	3	28	3	3 8 13 18 23 40 59 60 61 62 79 80 81 82 99 100 101 102 105 119 120 121 122 139 140 141 142 156 157 158 159 160 176 181 186 212
20	3	34	2	3 8 13 18 23 40 59 60 61 62 79 80 81 82 99 100 101 102 105 119 120 121 122 139 140 141 142 156 157 158 159 160 176 181 186 212
21	3	38	3	3 8 13 18 23 40 59 60 61 62 79 80 81 82 99 100 101 102 105 119 120 121 122 139 140 141 142 156 157 158 159 160 176 181 186 212
22	3	44	2	3 8 13 18 23 40 59 60 61 62 79 80 81 82 99 100 101 102 105 119 120 121 122 139 140 141 142 156 157 158 159 160 176 181 186 212
23	3	48	3	3 8 13 18 23 40 59 60 61 62 79 80 81 82 99 100 101 102 105 119 120 121 122 139 140 141 142 156 157 158 159 160 176 181 186 212
24	4	0	2	4 9 14 19 24 37 47 48 49 50 67 68 69 70 87 88 89 90 105 127 128 129 130 147 148 149 150 156 157 158 159 160 177 182 186 206
25	4	4	2	4 9 14 19 24 37 47 48 49 50 67 68 69 70 87 88 89 90 105 127 128 129 130 147 148 149 150 156 157 158 159 160 177 182 186 206
26	4	8	2	4 9 14 19 24 37 47 48 49 50 67 68 69 70 87 88 89 90 105 127 128 129 130 147 148 149 150 156 157 158 159 160 177 182 186 206
27	4	12	2	4 9 14 19 24 37 47 48 49 50 67 68 69 70 87 88 89 90 105 127 128 129 130 147 148 149 150 156 157 158 159 160 177 182 186 206
28	4	16	2	4 9 14 19 24 37 47 48 49 50 67 68 69 70 87 88 89 90 105 127 128 129 130 147 148 149 150 156 157 158 159 160 177 182 186 206
29	4	20	3	4 9 14 19 24 37 47 48 49 50 67 68 69 70 87 88 89 90 105 127 128 129 130 147 148 149 150 156 157 158 159 160 177 182 186 206
30	4	26	3	4 9 14 19 24 37 47 48 49 50 67 68 69 70 87 88 89 90 105 127 128 129 130 147 148 149 150 156 157 158 159 160 177 182 186 206
31	4	32	4	4 9 14 19 24 37 47 48 49 50 67 68 69 70 87 88 89 90 105 127 128 129 130 147 148 149 150 156 157 158 159 160 177 182 186 206
32	4	40	3	4 9 14 19 24 37 47 48 49 50 67 68 69 70 87 88 89 90 105 127 128 129 130 147 148 149 150 156 157 158 159 160 177 182 186 206
33	4	46	4	4 9 14 19 24 37 47 48 49 50 67 68 69 70 87 88 89 90 105 127 128 129 130 147 148 149 150 156 157 158 159 160 177 182 186 206
34	5	0	4	6 11 16 21 26 38 51 52 53 54 71 72 73 74 91 92 93 94 105 111 112 113 114 131 132 133 134 156 157 158 159 160 178 183 186 208
35	5	8	9	6 11 16 21 26 38 51 52 53 54 71 72 73 74 91 92 93 94 105 111 112 113 114 131 132 133 134 156 157 158 159 160 178 183 186 208
36	5	26	5	6 11 16 21 26 38 51 52 53 54 71 72 73 74 91 92 93 94 105 111 112 113 114 131 132 133 134 156 157 158 159 160 178 183 186 208
37	5	36	3	6 11 16 21 26 38 51 52 53 54 71 72 73 74 91 92 93 94 105 111 112 113 114 131 132 133 134 156 157 158 159 160 178 183 186 208
38	5	42	6	6 11 16 21 26 38 51 52 53 54 71 72 73 74 91 92 93 94 105 111 112 113 114 131 132 133 134 156 157 158 159 160 178 183 186 208
